genes	t	S	N	dNdS	dN	dS
XP_015755972.1_aten_0.1.m1.17838.m1	0.2470	483.5	1685.5	0.3355	0.0571	0.1702
XP_015755975.1_aten_0.1.m1.17845.m1	0.1387	348.1	866.9	0.5568	0.0376	0.0676
XP_015755982.1_aten_0.1.m1.5621.m1	0.2872	238.5	733.5	0.6751	0.0856	0.1268
XP_015755985.1_aten_0.1.m1.5614.m1	0.1773	261.1	1001.9	0.1224	0.0238	0.1946
XP_015755989.1_aten_0.1.m1.17780.m1	0.1080	174.2	569.8	0.0547	0.0071	0.1304
XP_015755991.1_aten_0.1.m1.17781.m1	0.1623	342.6	848.4	0.2939	0.0320	0.1089
XP_015755996.1_aten_0.1.m1.17786.m1	0.1130	286.2	856.8	0.2462	0.0213	0.0866
XP_015756003.1_aten_0.1.m1.17811.m1	0.1663	271.3	886.7	0.2776	0.0344	0.1241
XP_015756004.1_aten_0.1.m1.17822.m1	0.0983	329.8	882.2	0.1690	0.0140	0.0829
XP_015756010.1_aten_0.1.m1.19817.m1	0.1083	162.0	510.0	0.1633	0.0162	0.0989
XP_015756016.1_aten_0.1.m1.17837.m1	0.0919	473.3	1437.7	0.1723	0.0140	0.0812
XP_015756025.1_aten_0.1.m1.17850.m1	0.1159	228.3	761.7	0.3793	0.0280	0.0739
XP_015756026.1_aten_0.1.m1.17846.m1	0.0810	110.3	384.7	0.3425	0.0189	0.0552
XP_015756028.1_aten_0.1.m1.17840.m1	0.0899	92.4	279.6	0.0326	0.0036	0.1098
XP_015756030.1_aten_0.1.m1.17849.m1	0.1555	645.8	1907.2	0.3163	0.0335	0.1059
XP_015756031.1_aten_0.1.m1.17842.m1	0.0976	280.9	925.1	0.1195	0.0120	0.1002
XP_015756032.1_aten_0.1.m1.5625.m1	0.0954	232.7	634.3	0.1833	0.0145	0.0790
XP_015756034.1_aten_0.1.m1.5626.m1	0.1248	201.3	530.7	1.1253	0.0429	0.0381
XP_015756035.1_aten_0.1.m1.5634.m1	0.1063	173.8	459.2	0.2188	0.0179	0.0818
XP_015756036.1_aten_0.1.m1.5633.m1	0.1664	322.8	991.2	0.2192	0.0296	0.1350
XP_015756037.1_aten_0.1.m1.5624.m1	0.1309	322.8	1018.2	0.3755	0.0312	0.0830
XP_015756038.1_aten_0.1.m1.5629.m1	0.1359	273.7	812.3	0.1525	0.0189	0.1238
XP_015756041.1_aten_0.1.m1.5618.m1	0.0936	164.7	408.3	0.3466	0.0202	0.0584
XP_015756042.1_aten_0.1.m1.5619.m1	0.0175	113.3	228.7	0.5199	0.0045	0.0086
XP_015756048.1_aten_0.1.m1.14932.m1	0.3366	265.5	904.5	0.2731	0.0699	0.2561
XP_015756054.1_aten_0.1.m1.5616.m1	0.2511	354.3	1100.7	0.4101	0.0620	0.1512
XP_015756056.1_aten_0.1.m1.2731.m1	0.0994	104.8	339.2	0.5466	0.0277	0.0507
XP_015756060.1_aten_0.1.m1.2745.m1	0.3028	328.2	1375.8	0.3629	0.0754	0.2078
XP_015756062.1_aten_0.1.m1.2749.m1	0.2297	147.3	461.7	0.5133	0.0623	0.1213
XP_015756063.1_aten_0.1.m1.2739.m1	0.4509	168.9	536.1	0.5407	0.1249	0.2310
XP_015756064.1_aten_0.1.m1.2744.m1	0.4856	128.7	531.3	0.4135	0.1268	0.3066
XP_015756065.1_aten_0.1.m1.2742.m1	0.1727	276.4	797.6	0.2912	0.0354	0.1216
XP_015756068.1_aten_0.1.m1.2747.m1	0.1940	268.8	829.2	0.2780	0.0395	0.1422
XP_015756069.1_aten_0.1.m1.2753.m1	0.1559	847.6	2797.4	0.1952	0.0265	0.1360
XP_015756074.1_aten_0.1.m1.2778.m1	0.2309	263.6	837.4	0.1680	0.0352	0.2096
XP_015756075.1_aten_0.1.m1.2771.m1	0.2716	354.8	1100.2	0.6674	0.0807	0.1210
XP_015756078.1_aten_0.1.m1.2791.m1	0.3817	1113.5	3191.5	0.4954	0.1007	0.2033
XP_015756084.1_aten_0.1.m1.2794.m1	0.2054	623.4	2403.6	0.1993	0.0375	0.1880
XP_015756101.1_aten_0.1.m1.2750.m1	0.0967	158.8	312.2	0.1857	0.0130	0.0700
XP_015756102.1_aten_0.1.m1.2746.m1	0.2051	203.7	627.3	0.6142	0.0592	0.0964
XP_015756106.1_aten_0.1.m1.2754.m1	0.1842	216.6	656.4	0.4835	0.0485	0.1004
XP_015756107.1_aten_0.1.m1.2757.m1	0.1475	179.6	492.4	0.1603	0.0205	0.1278
XP_015756110.1_aten_0.1.m1.2761.m1	0.1708	229.2	628.8	0.3794	0.0396	0.1044
XP_015756115.1_aten_0.1.m1.2762.m1	0.1168	287.3	783.7	0.1512	0.0155	0.1028
XP_015756116.1_aten_0.1.m1.2765.m1	0.0673	217.3	775.7	0.1914	0.0117	0.0609
XP_015756117.1_aten_0.1.m1.2769.m1	0.4416	205.7	619.3	0.4814	0.1160	0.2410
XP_015756118.1_aten_0.1.m1.2764.m1	0.0907	195.4	536.6	0.0569	0.0056	0.0980
XP_015756123.1_aten_0.1.m1.17664.m1	50.0000	181.0	620.0	0.0111	0.7885	
XP_015756130.1_aten_0.1.m1.14408.m1	0.1734	912.9	2453.1	0.6866	0.0514	0.0749
XP_015756131.1_aten_0.1.m1.2781.m1	0.1321	369.6	1208.4	0.1555	0.0194	0.1246
XP_015756134.1_aten_0.1.m1.2792.m1	0.3776	167.1	684.9	0.2715	0.0825	0.3038
XP_015756135.1_aten_0.1.m1.2782.m1	0.1584	166.8	520.2	0.6795	0.0474	0.0697
XP_015756149.1_aten_0.1.m1.14415.m1	0.1451	382.2	955.8	0.1480	0.0183	0.1236
XP_015756150.1_aten_0.1.m1.2796.m1	0.1361	317.8	1110.2	0.3974	0.0339	0.0854
XP_015756152.1_aten_0.1.m1.2793.m1	0.1293	219.5	656.5	0.1060	0.0138	0.1306
XP_015756155.1_aten_0.1.m1.2797.m1	0.0917	123.2	392.8	0.3303	0.0206	0.0624
XP_015756156.1_aten_0.1.m1.2807.m1	0.2215	148.3	493.7	0.3707	0.0530	0.1431
XP_015756171.1_aten_0.1.m1.19497.m1	0.2879	117.5	383.5	0.4140	0.0720	0.1740
XP_015756173.1_aten_0.1.m1.19502.m1	0.1972	118.1	460.9	0.5128	0.0550	0.1073
XP_015756184.1_aten_0.1.m1.19558.m1	0.1983	236.5	765.5	0.5116	0.0540	0.1055
XP_015756185.1_aten_0.1.m1.19557.m1	0.1757	236.7	732.3	0.3057	0.0377	0.1232
XP_015756188.1_aten_0.1.m1.19567.m1	0.1411	177.7	554.3	0.2094	0.0245	0.1172
XP_015756192.1_aten_0.1.m1.19575.m1	0.2064	626.8	1875.2	0.2984	0.0433	0.1451
XP_015756198.1_aten_0.1.m1.21350.m1	0.2418	568.5	1708.5	0.2406	0.0451	0.1873
XP_015756200.1_aten_0.1.m1.19496.m1	0.4161	108.2	329.8	0.5515	0.1155	0.2094
XP_015756201.1_aten_0.1.m1.19500.m1	0.2959	170.9	579.1	0.4457	0.0768	0.1724
XP_015756205.1_aten_0.1.m1.19522.m1	0.2698	177.5	449.5	0.7998	0.0840	0.1050
XP_015756215.1_aten_0.1.m1.19529.m1	0.1470	328.5	859.5	0.3289	0.0313	0.0952
XP_015756218.1_aten_0.1.m1.14417.m1	0.1514	87.5	278.5	0.3675	0.0358	0.0973
XP_015756219.1_aten_0.1.m1.19540.m1	0.1276	202.6	583.4	0.2014	0.0210	0.1044
XP_015756221.1_aten_0.1.m1.19537.m1	0.0995	432.9	974.1	0.2936	0.0190	0.0649
XP_015756223.1_aten_0.1.m1.19543.m1	0.0753	194.7	561.3	0.0945	0.0072	0.0766
XP_015756227.1_aten_0.1.m1.14414.m1	0.2177	137.7	432.3	0.3325	0.0489	0.1470
XP_015756234.1_aten_0.1.m1.19555.m1	0.1273	497.2	1233.8	0.1693	0.0176	0.1041
XP_015756235.1_aten_0.1.m1.19551.m1	0.1094	1197.9	3161.1	0.3255	0.0232	0.0714
XP_015756237.1_aten_0.1.m1.14428.m1	0.1314	669.6	2072.4	0.2668	0.0262	0.0983
XP_015756240.1_aten_0.1.m1.19552.m1	0.1224	352.2	1282.8	0.2620	0.0254	0.0969
XP_015756243.1_aten_0.1.m1.19566.m1	0.1243	421.7	1195.3	0.2306	0.0222	0.0961
XP_015756245.1_aten_0.1.m1.19564.m1	0.0261	169.7	430.3	0.0940	0.0023	0.0248
XP_015756250.1_aten_0.1.m1.19569.m1	0.1040	56.9	192.1	0.0912	0.0106	0.1160
XP_015756254.1_aten_0.1.m1.31466.m1	0.2640	104.8	393.2	0.3326	0.0619	0.1860
XP_015756266.1_aten_0.1.m1.11083.m1	0.3450	415.3	1381.7	0.4020	0.0856	0.2129
XP_015756267.1_aten_0.1.m1.11088.m1	0.2481	173.6	543.4	0.3662	0.0583	0.1591
XP_015756268.1_aten_0.1.m1.11086.m1	0.4134	297.2	965.8	0.2871	0.0870	0.3030
XP_015756282.1_aten_0.1.m1.31477.m1	0.1032	408.6	1085.4	0.1591	0.0141	0.0884
XP_015756284.1_aten_0.1.m1.31490.m1	0.2852	271.8	751.2	0.6216	0.0818	0.1316
XP_015756303.1_aten_0.1.m1.11053.m1	0.1475	678.5	2231.5	0.3640	0.0349	0.0960
XP_015756310.1_aten_0.1.m1.11060.m1	0.4017	113.7	333.3	0.5236	0.1087	0.2077
XP_015756315.1_aten_0.1.m1.11051.m1	0.1391	215.8	651.2	0.4718	0.0363	0.0768
XP_015756320.1_aten_0.1.m1.11064.m1	0.1144	245.1	549.9	0.2974	0.0221	0.0742
XP_015756321.1_aten_0.1.m1.11061.m1	0.1832	63.4	287.6	0.0699	0.0180	0.2568
XP_015756323.1_aten_0.1.m1.11067.m1	0.1201	594.8	1577.2	0.2894	0.0239	0.0827
XP_015756325.1_aten_0.1.m1.11068.m1	0.3881	363.9	1148.1	0.6204	0.1128	0.1817
XP_015756348.1_aten_0.1.m1.34512.m1	0.2808	446.0	1315.0	0.4682	0.0727	0.1552
XP_015756349.1_aten_0.1.m1.14411.m1	0.2090	83.7	264.3	0.1585	0.0306	0.1931
XP_015756350.1_aten_0.1.m1.34520.m1	0.1328	380.0	1123.0	0.2000	0.0220	0.1100
XP_015756351.1_aten_0.1.m1.34507.m1	0.2145	643.3	2035.7	0.4418	0.0549	0.1242
XP_015756352.1_aten_0.1.m1.34508.m1	0.3138	380.2	1122.8	0.2252	0.0559	0.2484
XP_015756353.1_aten_0.1.m1.34494.m1	0.1271	1339.6	3577.4	0.2809	0.0250	0.0888
XP_015756354.1_aten_0.1.m1.34492.m1	0.1662	361.8	1057.2	0.5227	0.0449	0.0860
XP_015756355.1_aten_0.1.m1.34498.m1	0.1318	377.0	982.0	0.3087	0.0271	0.0878
XP_015756371.1_aten_0.1.m1.34525.m1	0.0861	368.6	960.4	0.2019	0.0137	0.0678
XP_015756372.1_aten_0.1.m1.34519.m1	0.1561	546.6	1532.4	0.3111	0.0329	0.1057
XP_015756391.1_aten_0.1.m1.34502.m1	0.1454	119.1	312.9	0.2461	0.0263	0.1068
XP_015756393.1_aten_0.1.m1.34495.m1	0.0914	295.4	718.6	0.1467	0.0113	0.0771
XP_015756394.1_aten_0.1.m1.34496.m1	0.1193	196.3	589.7	0.0802	0.0103	0.1283
XP_015756396.1_aten_0.1.m1.14421.m1	0.1047	309.9	908.1	0.2361	0.0192	0.0811
XP_015756407.1_aten_0.1.m1.14427.m1	0.0739	221.9	720.1	0.0139	0.0014	0.1001
XP_015756412.1_aten_0.1.m1.34482.m1	0.3283	337.4	1270.6	0.4454	0.0868	0.1948
XP_015756415.1_aten_0.1.m1.34471.m1	0.1063	458.0	1099.0	0.2856	0.0204	0.0715
XP_015756419.1_aten_0.1.m1.34488.m1	0.1156	286.3	640.7	0.1110	0.0111	0.0999
XP_015756421.1_aten_0.1.m1.34485.m1	0.0307	68.8	282.2	0.0010	0.0001	0.0519
XP_015756422.1_aten_0.1.m1.34480.m1	0.1374	633.0	1440.0	0.1898	0.0199	0.1047
XP_015756423.1_aten_0.1.m1.34473.m1	0.2583	298.6	1042.4	0.2594	0.0526	0.2029
XP_015756425.1_aten_0.1.m1.34478.m1	0.2549	691.8	2128.2	0.4416	0.0648	0.1468
XP_015756426.1_aten_0.1.m1.34476.m1	0.1587	441.3	1211.7	0.4903	0.0414	0.0844
XP_015756427.1_aten_0.1.m1.34479.m1	0.2161	260.3	735.7	0.3713	0.0499	0.1345
XP_015756428.1_aten_0.1.m1.34472.m1	0.1404	286.7	799.3	0.2278	0.0247	0.1084
XP_015756429.1_aten_0.1.m1.34481.m1	0.1302	78.7	359.3	0.1030	0.0169	0.1643
XP_015756434.1_aten_0.1.m1.26996.m1	0.2571	438.5	1316.5	0.3458	0.0582	0.1683
XP_015756457.1_aten_0.1.m1.28023.m1	0.3822	93.7	275.3	0.7913	0.1194	0.1509
XP_015756466.1_aten_0.1.m1.14432.m1	0.1298	442.2	1354.8	0.4240	0.0324	0.0765
XP_015756486.1_aten_0.1.m1.15890.m1	0.0906	337.7	835.3	0.1416	0.0110	0.0777
XP_015756492.1_aten_0.1.m1.1856.m1	0.2897	190.9	712.1	0.3972	0.0731	0.1841
XP_015756495.1_aten_0.1.m1.1876.m1	0.2630	732.5	2336.5	0.6019	0.0757	0.1258
XP_015756496.1_aten_0.1.m1.1872.m1	0.1698	123.7	458.3	0.5064	0.0469	0.0926
XP_015756497.1_aten_0.1.m1.1888.m1	0.2761	420.4	1250.6	0.3077	0.0588	0.1910
XP_015756498.1_aten_0.1.m1.1887.m1	0.2426	233.5	834.5	0.3294	0.0560	0.1699
XP_015756499.1_aten_0.1.m1.1897.m1	0.2098	309.7	953.3	0.1858	0.0337	0.1814
XP_015756500.1_aten_0.1.m1.1893.m1	0.1969	292.1	844.9	0.4000	0.0474	0.1185
XP_015756503.1_aten_0.1.m1.1894.m1	0.1850	348.4	1181.6	0.2382	0.0357	0.1498
XP_015756522.1_aten_0.1.m1.14437.m1	0.1249	129.5	338.5	0.2724	0.0239	0.0878
XP_015756527.1_aten_0.1.m1.1864.m1	0.2377	147.6	443.4	0.5228	0.0645	0.1234
XP_015756528.1_aten_0.1.m1.1870.m1	0.1843	663.9	2012.1	0.6749	0.0549	0.0813
XP_015756529.1_aten_0.1.m1.1857.m1	0.0857	354.6	1055.4	0.2858	0.0175	0.0614
XP_015756530.1_aten_0.1.m1.1862.m1	0.1357	278.2	729.8	0.4855	0.0350	0.0721
XP_015756532.1_aten_0.1.m1.1859.m1	0.0972	241.1	673.9	0.3860	0.0228	0.0592
XP_015756533.1_aten_0.1.m1.1863.m1	0.1529	283.8	676.2	0.2840	0.0292	0.1028
XP_015756536.1_aten_0.1.m1.1867.m1	0.1997	261.4	665.6	0.5320	0.0533	0.1002
XP_015756540.1_aten_0.1.m1.1868.m1	0.0678	131.5	378.5	0.3860	0.0160	0.0415
XP_015756541.1_aten_0.1.m1.1866.m1	0.2642	89.4	360.6	0.2986	0.0601	0.2011
XP_015756545.1_aten_0.1.m1.1875.m1	0.1037	452.5	1302.5	0.0455	0.0054	0.1185
XP_015756549.1_aten_0.1.m1.14445.m1	0.3314	241.7	706.3	0.4099	0.0808	0.1972
XP_015756550.1_aten_0.1.m1.1878.m1	0.0738	136.4	370.6	0.4971	0.0193	0.0389
XP_015756551.1_aten_0.1.m1.1877.m1	0.0868	351.1	1037.9	0.3387	0.0194	0.0572
XP_015756555.1_aten_0.1.m1.1882.m1	0.1196	266.9	819.1	0.2039	0.0204	0.0998
XP_015756560.1_aten_0.1.m1.14446.m1	0.0867	214.7	535.3	0.0915	0.0075	0.0822
XP_015756561.1_aten_0.1.m1.1886.m1	0.2723	287.7	1059.3	0.3201	0.0624	0.1951
XP_015756562.1_aten_0.1.m1.1881.m1	0.1603	266.3	936.7	0.3623	0.0385	0.1061
XP_015756569.1_aten_0.1.m1.1890.m1	0.2217	88.0	320.0	0.3658	0.0538	0.1470
XP_015756570.1_aten_0.1.m1.1892.m1	0.1135	412.1	1294.9	0.2374	0.0213	0.0897
XP_015756572.1_aten_0.1.m1.1896.m1	0.1517	308.2	798.8	0.1576	0.0203	0.1290
XP_015756573.1_aten_0.1.m1.1899.m1	0.1014	230.2	501.8	0.2303	0.0165	0.0716
XP_015756574.1_aten_0.1.m1.1891.m1	0.1513	165.7	359.3	0.5201	0.0391	0.0751
XP_015756577.1_aten_0.1.m1.1908.m1	0.3056	256.6	940.4	0.2353	0.0600	0.2552
XP_015756584.1_aten_0.1.m1.22331.m1	0.6609	159.4	584.6	0.4555	0.1754	0.3850
XP_015756585.1_aten_0.1.m1.22326.m1	0.2508	540.1	1637.9	0.2783	0.0509	0.1828
XP_015756588.1_aten_0.1.m1.22318.m1	0.2711	185.2	627.8	0.3769	0.0656	0.1742
XP_015756589.1_aten_0.1.m1.22315.m1	0.1280	308.4	1032.6	0.1662	0.0198	0.1192
XP_015756594.1_aten_0.1.m1.22303.m1	0.4919	146.9	462.1	0.8158	0.1555	0.1906
XP_015756595.1_aten_0.1.m1.22305.m1	0.2639	212.3	588.7	0.3226	0.0565	0.1752
XP_015756606.1_aten_0.1.m1.21553.m1	0.3255	373.4	1282.6	0.3584	0.0773	0.2157
XP_015756610.1_aten_0.1.m1.21527.m1	0.1993	851.3	2331.7	0.3321	0.0432	0.1301
XP_015756616.1_aten_0.1.m1.14444.m1	0.1340	335.6	1044.4	0.1236	0.0164	0.1326
XP_015756620.1_aten_0.1.m1.22323.m1	0.1800	392.1	1170.9	0.4663	0.0466	0.1000
XP_015756623.1_aten_0.1.m1.22316.m1	0.0793	288.2	980.8	0.1441	0.0113	0.0781
XP_015756624.1_aten_0.1.m1.22310.m1	0.1568	352.8	880.2	0.1031	0.0150	0.1453
XP_015756626.1_aten_0.1.m1.22319.m1	0.1570	211.0	602.0	0.4878	0.0411	0.0843
XP_015756627.1_aten_0.1.m1.22321.m1	0.1485	220.8	541.2	0.0231	0.0037	0.1617
XP_015756628.1_aten_0.1.m1.22308.m1	0.1530	321.3	935.7	0.3030	0.0321	0.1060
XP_015756638.1_aten_0.1.m1.38165.m1	0.1268	566.1	1731.9	0.4369	0.0321	0.0734
XP_015756652.1_aten_0.1.m1.21556.m1	5.2769	282.2	833.8	0.1013	0.5422	5.3543
XP_015756653.1_aten_0.1.m1.21561.m1	0.1145	298.2	853.8	0.6864	0.0341	0.0497
XP_015756654.1_aten_0.1.m1.21551.m1	0.1908	272.4	753.6	0.4963	0.0501	0.1009
XP_015756668.1_aten_0.1.m1.21555.m1	0.1296	192.0	600.0	0.1188	0.0154	0.1300
XP_015756672.1_aten_0.1.m1.21546.m1	0.0909	150.4	509.6	0.0325	0.0039	0.1198
XP_015756674.1_aten_0.1.m1.21552.m1	0.1190	397.5	1033.5	0.2973	0.0239	0.0805
XP_015756675.1_aten_0.1.m1.21526.m1	0.1507	439.2	1279.8	0.4919	0.0398	0.0808
XP_015756676.1_aten_0.1.m1.21522.m1	0.1090	378.1	1025.9	0.1733	0.0159	0.0918
XP_015756678.1_aten_0.1.m1.21530.m1	0.1107	398.1	1104.9	0.2095	0.0185	0.0881
XP_015756679.1_aten_0.1.m1.21537.m1	0.1187	257.2	663.8	0.2014	0.0188	0.0932
XP_015756687.1_aten_0.1.m1.21531.m1	0.1157	263.6	1143.4	0.2568	0.0250	0.0974
XP_015756689.1_aten_0.1.m1.21523.m1	0.0668	320.6	828.4	0.0729	0.0049	0.0671
XP_015756690.1_aten_0.1.m1.21524.m1	0.0957	87.7	485.3	0.1766	0.0186	0.1054
XP_015756694.1_aten_0.1.m1.21528.m1	0.1994	452.5	1812.5	0.3058	0.0457	0.1495
XP_015756716.1_aten_0.1.m1.27276.m1	0.4505	370.7	1213.3	0.4061	0.1119	0.2755
XP_015756732.1_aten_0.1.m1.27269.m1	0.0937	490.3	1219.7	0.2494	0.0168	0.0672
XP_015756734.1_aten_0.1.m1.27275.m1	0.1192	220.8	664.2	0.2613	0.0233	0.0892
XP_015756741.1_aten_0.1.m1.357.m1	0.1493	603.8	1754.2	0.2861	0.0304	0.1062
XP_015756742.1_aten_0.1.m1.363.m1	0.1385	227.9	591.1	0.2488	0.0251	0.1009
XP_015756745.1_aten_0.1.m1.373.m1	0.1660	329.8	1116.2	0.1659	0.0258	0.1553
XP_015756758.1_aten_0.1.m1.435.m1	0.0858	153.9	407.1	0.0257	0.0025	0.0976
XP_015756761.1_aten_0.1.m1.443.m1	0.2612	480.3	1664.7	0.3233	0.0593	0.1834
XP_015756763.1_aten_0.1.m1.421.m1	0.1435	274.3	667.7	0.3184	0.0295	0.0926
XP_015756769.1_aten_0.1.m1.358.m1	0.0839	316.2	811.8	0.4040	0.0198	0.0490
XP_015756771.1_aten_0.1.m1.355.m1	0.0622	167.5	366.5	0.1795	0.0085	0.0475
XP_015756791.1_aten_0.1.m1.375.m1	0.1169	350.1	897.9	0.4026	0.0275	0.0683
XP_015756799.1_aten_0.1.m1.404.m1	0.1404	372.4	1136.6	0.2178	0.0248	0.1139
XP_015756813.1_aten_0.1.m1.423.m1	0.1708	223.6	661.4	0.2205	0.0301	0.1364
XP_015756815.1_aten_0.1.m1.422.m1	0.1606	167.1	606.9	0.2272	0.0309	0.1359
XP_015756817.1_aten_0.1.m1.420.m1	0.0872	204.3	521.7	0.2003	0.0137	0.0684
XP_015756821.1_aten_0.1.m1.424.m1	0.0929	180.8	497.2	0.1187	0.0104	0.0875
XP_015756822.1_aten_0.1.m1.418.m1	0.2257	166.2	469.8	0.2982	0.0466	0.1562
XP_015756825.1_aten_0.1.m1.426.m1	0.1002	235.8	880.2	0.0868	0.0104	0.1193
XP_015756834.1_aten_0.1.m1.35210.m1	0.1596	535.2	1660.8	0.1391	0.0212	0.1524
XP_015756841.1_aten_0.1.m1.441.m1	0.1831	121.7	325.3	0.2012	0.0293	0.1458
XP_015756845.1_aten_0.1.m1.20946.m1	0.1367	324.8	1178.2	0.3248	0.0314	0.0968
XP_015756852.1_aten_0.1.m1.35208.m1	0.1578	980.4	2679.6	0.3061	0.0327	0.1069
XP_015756871.1_aten_0.1.m1.20916.m1	0.8704	216.5	707.5	0.6365	0.2559	0.4020
XP_015756874.1_aten_0.1.m1.20907.m1	0.1054	237.7	785.3	0.1947	0.0179	0.0920
XP_015756877.1_aten_0.1.m1.20885.m1	0.2290	178.1	613.9	0.3924	0.0566	0.1443
XP_015756884.1_aten_0.1.m1.20890.m1	0.3614	156.7	581.3	0.3804	0.0895	0.2353
XP_015756888.1_aten_0.1.m1.35207.m1	0.2134	229.4	688.6	0.3189	0.0464	0.1454
XP_015756889.1_aten_0.1.m1.20886.m1	0.1013	661.6	1966.4	0.6339	0.0295	0.0465
XP_015756890.1_aten_0.1.m1.20880.m1	0.1921	119.6	447.4	0.7214	0.0592	0.0821
XP_015756896.1_aten_0.1.m1.3285.m1	0.1971	1574.8	4119.2	0.5015	0.0515	0.1027
XP_015756898.1_aten_0.1.m1.35219.m1	0.3829	481.4	1462.6	0.5048	0.1027	0.2034
XP_015756900.1_aten_0.1.m1.3281.m1	0.2624	469.0	1316.0	0.3929	0.0622	0.1583
XP_015756903.1_aten_0.1.m1.37776.m1	0.2023	712.7	2116.3	0.5965	0.0576	0.0966
XP_015756907.1_aten_0.1.m1.2093.m1	0.7717	712.3	2005.7	0.3696	0.1778	0.4810
XP_015756909.1_aten_0.1.m1.2127.m1	50.0000	883.1	1729.9	0.0181	0.8617	
XP_015756915.1_aten_0.1.m1.2125.m1	0.3250	337.3	1045.7	0.3074	0.0699	0.2274
XP_015756916.1_aten_0.1.m1.2129.m1	0.1773	413.1	1143.9	0.3380	0.0389	0.1151
XP_015756920.1_aten_0.1.m1.3293.m1	0.1340	681.7	1853.3	0.3682	0.0306	0.0830
XP_015756922.1_aten_0.1.m1.3288.m1	0.1786	662.6	2031.4	0.4032	0.0437	0.1083
XP_015756928.1_aten_0.1.m1.3284.m1	0.0699	275.1	927.9	0.0814	0.0065	0.0799
XP_015756929.1_aten_0.1.m1.3289.m1	0.0984	252.7	785.3	0.1066	0.0108	0.1012
XP_015756937.1_aten_0.1.m1.35236.m1	0.2211	540.8	1775.2	0.2175	0.0400	0.1841
XP_015756954.1_aten_0.1.m1.2098.m1	0.0903	398.1	1218.9	0.0966	0.0091	0.0943
XP_015756955.1_aten_0.1.m1.2095.m1	0.0844	273.5	647.5	0.1293	0.0094	0.0726
XP_015756971.1_aten_0.1.m1.2126.m1	0.1197	154.7	472.3	0.1541	0.0170	0.1100
XP_015756972.1_aten_0.1.m1.2131.m1	0.1756	144.0	504.0	0.2706	0.0366	0.1353
XP_015756973.1_aten_0.1.m1.2135.m1	0.0815	154.8	493.2	0.2173	0.0146	0.0672
XP_015756979.1_aten_0.1.m1.8635.m1	0.1266	96.2	263.8	0.0262	0.0039	0.1473
XP_015756990.1_aten_0.1.m1.7311.m1	0.2176	1066.3	3043.7	0.4373	0.0544	0.1244
XP_015756999.1_aten_0.1.m1.18629.m1	0.1276	438.5	1430.5	0.1727	0.0200	0.1160
XP_015757003.1_aten_0.1.m1.18630.m1	0.0448	329.9	1032.1	0.1330	0.0058	0.0436
XP_015757009.1_aten_0.1.m1.18622.m1	0.1034	168.0	417.0	0.3331	0.0219	0.0657
XP_015757010.1_aten_0.1.m1.18625.m1	0.1263	440.1	1176.9	0.2765	0.0246	0.0889
XP_015757011.1_aten_0.1.m1.18616.m1	0.0774	467.8	1509.2	0.1187	0.0094	0.0788
XP_015757013.1_aten_0.1.m1.18624.m1	0.0718	264.6	773.4	0.4703	0.0186	0.0396
XP_015757014.1_aten_0.1.m1.18620.m1	0.1143	220.9	712.1	0.5151	0.0312	0.0605
XP_015757015.1_aten_0.1.m1.18612.m1	0.1345	97.4	358.6	0.2652	0.0282	0.1062
XP_015757016.1_aten_0.1.m1.18615.m1	0.1034	138.5	473.5	0.1204	0.0130	0.1079
XP_015757017.1_aten_0.1.m1.18613.m1	0.3412	103.8	352.2	0.5246	0.0943	0.1797
XP_015757023.1_aten_0.1.m1.8643.m1	0.1532	410.5	1260.5	0.2450	0.0291	0.1187
XP_015757026.1_aten_0.1.m1.8638.m1	0.1239	435.4	1331.6	0.4798	0.0326	0.0679
XP_015757030.1_aten_0.1.m1.7303.m1	0.3389	975.4	2810.6	1.3356	0.1208	0.0904
XP_015757034.1_aten_0.1.m1.14929.m1	0.0598	251.5	606.5	0.1303	0.0067	0.0517
XP_015757037.1_aten_0.1.m1.16905.m1	0.2801	515.6	1422.4	0.4673	0.0717	0.1533
XP_015757039.1_aten_0.1.m1.16903.m1	0.2658	675.9	2069.1	0.3198	0.0581	0.1818
XP_015757040.1_aten_0.1.m1.7297.m1	0.6358	254.8	912.2	0.4497	0.1672	0.3719
XP_015757042.1_aten_0.1.m1.16911.m1	0.2366	321.6	941.4	0.2677	0.0465	0.1736
XP_015757071.1_aten_0.1.m1.16895.m1	0.2063	643.5	1783.5	0.5278	0.0556	0.1053
XP_015757076.1_aten_0.1.m1.16901.m1	0.1789	75.1	179.9	0.0296	0.0056	0.1891
XP_015757079.1_aten_0.1.m1.7289.m1	0.1409	818.0	2116.0	0.2590	0.0261	0.1009
XP_015757083.1_aten_0.1.m1.16906.m1	0.1226	172.0	452.0	0.3080	0.0252	0.0820
XP_015757096.1_aten_0.1.m1.18515.m1	0.1320	1034.3	2934.7	0.2275	0.0233	0.1026
XP_015757102.1_aten_0.1.m1.24291.m1	0.2030	474.5	1454.5	0.2304	0.0371	0.1612
XP_015757108.1_aten_0.1.m1.7279.m1	0.1902	1008.8	2957.2	0.3949	0.0456	0.1155
XP_015757117.1_aten_0.1.m1.27212.m1	0.2104	156.8	485.2	0.8102	0.0663	0.0819
XP_015757121.1_aten_0.1.m1.27205.m1	0.2258	170.5	576.5	0.5842	0.0647	0.1108
